player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
I. Zubac,2023-24,LAC,C,68.0,26.4,0.165,0.0310186668266509,0.014237564680145164,37.71645021645021,80.51948051948052,CONNECTOR / HUB,,0.7415824428262356
C. Paul,2023-24,GSW,G,58.0,26.4,0.154,0.0302576874250324,0.015656446926058512,27.380952380952383,79.76190476190477,CONNECTOR / HUB,,0.6701853140857533
D. Jones Jr.,2024-25,LAC,F,77.0,24.3,0.16,0.0300437682465923,0.009359535884295393,33.22510822510822,79.54545454545455,CONNECTOR / HUB,,0.486135920863259
T. Camara,2023-24,POR,F,70.0,24.8,0.134,0.0294745447017948,0.015008766287990069,13.582251082251082,79.22077922077922,CONNECTOR / HUB,CONNECTOR / HUB,0.7918339316853736
B. Coulibaly,2023-24,WAS,G,63.0,27.2,0.139,0.0270803180742836,0.011676720397644868,16.504329004329005,78.35497835497836,CONNECTOR / HUB,CONNECTOR / HUB,0.777309614222175
J. Juzang,2024-25,UTA,G,64.0,19.8,0.174,0.0266055243467981,0.011223084386588875,44.53463203463203,78.03030303030303,CONNECTOR / HUB,,0.8578033712526486
G. Allen,2022-23,MIL,G,72.0,27.4,0.143,0.0263160958061048,0.007358648142541072,20.075757575757574,77.81385281385282,CONNECTOR / HUB,CONNECTOR / HUB,0.9031208873389873
O. Okongwu,2023-24,ATL,F-C,55.0,25.5,0.134,0.0260755087341916,0.013047385917055173,13.582251082251082,77.59740259740259,CONNECTOR / HUB,CONNECTOR / HUB,0.5067835683326487
J. Wells,2024-25,MEM,F,79.0,25.9,0.156,0.0258403229390377,0.005884215792301441,29.49134199134199,77.38095238095238,CONNECTOR / HUB,,0.7959049087749553
B. Coulibaly,2024-25,WAS,G,59.0,33.0,0.175,0.025156496214028,0.0029357554419625585,45.56277056277056,77.05627705627705,CONNECTOR / HUB,,0.777309614222175
J. Allen,2022-23,CLE,C,68.0,32.6,0.162,0.0247697705464631,0.004815179429897162,35.443722943722946,76.94805194805194,CONNECTOR / HUB,,0.7600715920535114
S. Hauser,2023-24,BOS,F,79.0,22.0,0.146,0.0243089921977074,0.007564093060376507,22.023809523809522,76.51515151515152,CONNECTOR / HUB,CONNECTOR / HUB,0.5256986399014263
O. Okongwu,2024-25,ATL,F-C,74.0,27.9,0.169,0.0238716876537238,0.0024410915883949225,40.909090909090914,76.19047619047619,CONNECTOR / HUB,,0.5067835683326487
T. Jones,2023-24,SAS,G,77.0,27.8,0.149,0.0236035317383731,0.003555636141289731,24.08008658008658,75.75757575757575,CONNECTOR / HUB,CONNECTOR / HUB,1.739958818338151
O. Toppin,2023-24,IND,F,82.0,21.1,0.16,0.0232377997340472,0.004872990707806297,33.22510822510822,75.21645021645021,CONNECTOR / HUB,,0.757317505691322
J. Walker,2023-24,POR,F,72.0,23.6,0.159,0.0223171359149978,0.006456119419140285,32.25108225108225,74.56709956709958,CONNECTOR / HUB,,1.2656273931540827
