t_id,t_name,t_ts,t_usage,t_L,t_DA,t_Dpi,c_id,c_name,c_ts,c_usage,c_L,c_DA,c_Dpi,c_role,du,same_ts,d_DA,d_Dpi
203500,Steven Adams,MEM 2022-23,0.139,0.014307708122093,0.225174339190366,0.05551919332216278,1630214,Xavier Tillman,MEM 2022-23,0.136,0.0048903436382653,0.09514712998928043,0.029472251016009313,ROLE OCCUPANT / SPECIALIST,0.0030000000000000027,1,0.13002720920108557,0.026046942306153464
1631105,Jalen Duren,DET 2022-23,0.139,0.2398630700210248,0.391084382761975,0.04386274465243872,203585,Rodney McGruder,DET 2022-23,0.135,0.0040876449750831,0.10885327763658503,0.05383155382194639,ROLE OCCUPANT / SPECIALIST,0.0040000000000000036,1,0.28223110512538996,-0.009968809169507667
1641731,Bilal Coulibaly,WAS 2023-24,0.139,0.0270803180742836,0.12583032059838084,0.028726623673063476,1630557,Corey Kispert,WAS 2022-23,0.139,0.0042279473722844,0.03452503941492646,0.020831123007715655,ROLE OCCUPANT / SPECIALIST,0.0,0,0.09130528118345438,0.007895500665347822
1628379,Luke Kennard,MEM 2024-25,0.14,0.0183251752518874,0.1781077383155396,0.03315760925083702,1630182,Josh Green,DAL 2022-23,0.14,0.0047033910269745,0.04238009686535926,0.04767974123185482,ROLE OCCUPANT / SPECIALIST,0.0,0,0.13572764145018035,-0.014522131981017795
1642274,Yves Missi,NOP 2024-25,0.141,0.0355840847997903,0.08783318203744572,0.05454299319068434,1630526,Jeremiah Robinson-Earl,NOP 2024-25,0.14,0.0020701682119438,0.07844342259333958,0.04447011596633089,ROLE OCCUPANT / SPECIALIST,0.0009999999999999731,1,0.009389759444106138,0.010072877224353453
1629048,Goga Bitadze,ORL 2024-25,0.142,0.0887695631638385,0.3806395115669192,0.06276935438406027,1641783,Tristan da Silva,ORL 2024-25,0.149,0.0021271609187273,0.10533625438345295,0.04345815918426246,ROLE OCCUPANT / SPECIALIST,0.007000000000000006,1,0.27530325718346627,0.019311195199797807
1626158,Richaun Holmes,WAS 2024-25,0.143,0.0610413169898428,0.5687672131959732,0.07350542629850262,1630551,Justin Champagnie,WAS 2024-25,0.15,0.0064199131118259,0.045154508185827225,0.04497106516736567,ROLE OCCUPANT / SPECIALIST,0.007000000000000006,1,0.523612705010146,0.028534361131136957
1628960,Grayson Allen,MIL 2022-23,0.143,0.0263160958061048,0.12762754183320002,0.05750868410221825,1628997,Caleb Martin,MIA 2022-23,0.143,0.0017204227828755,0.05452869503356683,0.03508707231584894,ROLE OCCUPANT / SPECIALIST,0.0,0,0.07309884679963319,0.02242161178636931
1629655,Daniel Gafford,WAS 2022-23,0.146,0.4108602821575936,0.7653113453404475,0.07440181138065455,1628420,Monte Morris,WAS 2022-23,0.155,0.0092779227662781,0.05812391167345499,0.03743930140888947,ROLE OCCUPANT / SPECIALIST,0.009000000000000008,1,0.7071874336669925,0.036962509971765076
1630573,Sam Hauser,BOS 2023-24,0.146,0.0243089921977074,0.08664948842539044,0.06528714063310846,201950,Jrue Holiday,BOS 2023-24,0.161,0.001633119246251,0.04897777498414835,0.035971860523504526,ROLE OCCUPANT / SPECIALIST,0.015000000000000013,1,0.037671713441242094,0.029315280109603936
