player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
T. Brown Jr.,1628972,1628972_LAL22_MIN23,0,F/Wing,G-F,LAL,2022-23,MIN,2023-24,LAL 2022-23 → MIN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,464,130,0.059,0.018,0.009,0.002,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.182,0.33,-0.148,NO,LAL,0.21341251247017,0.11571258497875846,-0.33,0.3415515985600836,0.807569919679759,35.1,10,-0.3415515985600836,True,False,redundant
B. Bol,1629626,1629626_ORL22_PHX23,0,F/C,C-F,ORL,2022-23,PHX,2023-24,ORL 2022-23 → PHX 2023-24,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,482,139,0.064,0.019,0.01,0.001,-0.006,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.147,0.004,-0.151,NO,ORL,0.21341251247017,0.12194505376902129,-0.004,-0.1240061731883267,0.24310845868504652,37.2,10,0.1240061731883267,True,True,additive
J. Nowell,1629669,1629669_MIN22_MEM23,0,G,G,MIN,2022-23,MEM,2023-24,MIN 2022-23 → MEM 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,643,54,0.082,0.007,0.023,0.002,0.003,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.175,-0.021,-0.154,NO,MIN,0.21341251247017,0.1526261948624585,0.021,0.08178822910591578,0.27040345506223357,34.4,10,-0.08178822910591578,True,True,additive
A. Holiday,1628988,1628988_ATL22_HOU23,0,G,G,ATL,2022-23,HOU,2023-24,ATL 2022-23 → HOU 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,222,390,0.028,0.05,0.001,0.005,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.082,0.074,-0.156,NO,ATL,0.21341251247017,0.08397213595599524,-0.074,0.008348812419069335,0.46500550641711424,36.8,10,-0.008348812419069335,False,False,irrelevant
C. Gillespie,1631221,1631221_DEN23_PHX24,0,G,G,DEN,2023-24,PHX,2024-25,DEN 2023-24 → PHX 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,74,135,0.01,0.019,0.009,0.012,-0.003,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.645,-0.485,-0.16,NO,DEN,0.21341251247017,0.08574784572037053,0.485,-0.5014775429982821,0.016544341130595795,32.1,10,0.5014775429982821,False,True,missed-need
D. Šarić,203967,203967_OKC22_GSW23,0,F/C,F-C,OKC,2022-23,GSW,2023-24,OKC 2022-23 → GSW 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,110,405,0.014,0.053,0.042,0.003,0.031,-0.012,Standard role occupant,Peripheral / replaceable wiring,-0.25,-0.09,-0.16,NO,OKC,0.21341251247017,0.13044044070241484,0.09,-0.18132992263009165,0.2510787364213337,32.7,10,0.18132992263009165,True,True,additive
P. Beverley,201976,201976_LAL22_CHI22,0,G,Guard,LAL,2022-23,CHI,2022-23,LAL 2022-23 → CHI 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,268,134,0.034,0.018,0.003,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.035,0.197,-0.162,NO,LAL,0.21341251247017,0.09031166708580753,-0.197,0.16756157220339005,0.5762812738808413,35.9,10,-0.16756157220339005,False,False,irrelevant
E. Fournier,203095,203095_NYK22_DET23,0,F/Wing,G-F,NYK,2022-23,DET,2023-24,NYK 2022-23 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,168,211,0.022,0.028,0.012,0.002,0.001,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.531,-0.369,-0.162,NO,NYK,0.21341251247017,0.09635386713501481,0.369,-0.33758996443933087,0.09362300662473272,25.1,10,0.33758996443933087,False,True,missed-need
M. Christie,1631108,1631108_LAL24_DAL24,0,G,Guard,LAL,2024-25,DAL,2024-25,LAL 2024-25 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,329,312,0.046,0.043,0.002,0.002,-0.011,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.186,-0.023,-0.163,NO,LAL,0.1705985961360498,0.09320630212281728,0.023,0.41413766190978846,0.6861055641780464,36.1,10,-0.41413766190978846,False,True,missed-need
K. Knox II,1628995,1628995_POR22_DET23,0,F/Wing,F,POR,2022-23,DET,2023-24,POR 2022-23 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,154,190,0.02,0.025,0.002,0.001,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.211,-0.044,-0.167,NO,POR,0.21341251247017,0.08033494479811928,0.044,-0.10775423466080196,0.11029366851780643,30.9,10,0.10775423466080196,False,True,missed-need
D. Rose,201565,201565_NYK22_MEM23,0,G,G,NYK,2022-23,MEM,2023-24,NYK 2022-23 → MEM 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,167,184,0.022,0.024,0.005,0.003,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.581,-0.412,-0.169,NO,NYK,0.21341251247017,0.08759387351727621,0.412,-0.44292556884067286,0.3839736049468374,35.3,10,0.44292556884067286,False,True,missed-need
B. Beal,203078,203078_WAS22_PHX23,0,G,G,WAS,2022-23,PHX,2023-24,WAS 2022-23 → PHX 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,990,783,0.129,0.104,0.012,0.007,-0.024,-0.02,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.201,-0.031,-0.17,NO,WAS,0.21341251247017,0.17765382552013637,0.031,0.0333205832572559,0.25876503212999175,37.2,10,-0.0333205832572559,True,True,additive
M. Morris,1628420,1628420_WAS22_MIN23,0,G,G,WAS,2022-23,MIN,2023-24,WAS 2022-23 → MIN 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,533,118,0.07,0.016,0.009,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.155,0.326,-0.171,NO,WAS,0.21341251247017,0.12380315272618339,-0.326,0.4315184629472703,0.6513879688478644,35.1,10,-0.4315184629472703,True,False,redundant
A. Drummond,203083,203083_CHI23_PHI24,0,C,C,CHI,2023-24,PHI,2024-25,CHI 2023-24 → PHI 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,331,193,0.045,0.026,0.128,0.01,0.115,-0.002,Hidden structural hub,Peripheral / replaceable wiring,-0.357,-0.186,-0.172,NO,CHI,0.8841676813887145,0.4070293630870703,0.186,-0.37231145744384186,0.8912670018544528,34.6,10,0.37231145744384186,True,True,additive
A. Pokusevski,1630197,1630197_OKC22_CHA23,0,F/Wing,F,OKC,2022-23,CHA,2023-24,OKC 2022-23 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,237,121,0.03,0.016,0.007,0.008,-0.004,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.153,0.329,-0.176,NO,OKC,0.21341251247017,0.09205313843906758,-0.329,0.3294522162004837,0.6820239567070585,37.4,10,-0.3294522162004837,False,False,irrelevant
O. Anunoby,1628384,1628384_TOR23_NYK23,0,F,Forward-Guard,TOR,2023-24,NYK,2023-24,TOR 2023-24 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,341,265,0.045,0.036,0.006,0.001,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.198,0.384,-0.186,NO,TOR,0.5509883708078015,0.14410464022883895,-0.384,-0.007113246609600272,0.6080759762921991,35.4,10,0.007113246609600272,True,False,redundant
R. Jackson,202704,202704_LAC22_DEN22,0,G,Guard,LAC,2022-23,DEN,2022-23,LAC 2022-23 → DEN 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,545,126,0.072,0.017,0.002,0.005,-0.016,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.123,0.077,-0.2,NO,LAC,0.21341251247017,0.1176823047345191,-0.077,-0.01964408473543832,0.32717271021332056,32.8,10,0.01964408473543832,True,False,redundant
C. Duarte,1630537,1630537_IND22_SAC23,0,G,G,IND,2022-23,SAC,2023-24,IND 2022-23 → SAC 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,340,192,0.043,0.025,0.007,0.004,-0.006,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.479,-0.271,-0.208,NO,IND,0.21341251247017,0.10392259489926181,0.271,-0.13616418817848602,0.2753382343735798,35.9,10,0.13616418817848602,True,True,additive
M. Bamba,1628964,1628964_ORL22_PHI23,0,C,Center,ORL,2022-23,PHI,2023-24,ORL 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,202,163,0.027,0.022,0.007,0.005,-0.005,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.209,-0.001,-0.208,NO,ORL,0.21341251247017,0.09159179676299142,0.001,-0.01637522002349017,0.11100752878920973,30.2,10,0.01637522002349017,False,True,missed-need
M. Brogdon,1627763,1627763_BOS22_POR23,0,G,G,BOS,2022-23,POR,2023-24,BOS 2022-23 → POR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,797,508,0.103,0.07,0.011,0.013,-0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.129,0.34,-0.211,NO,BOS,0.21341251247017,0.15070336593153544,-0.34,0.29924176695812393,0.42848188277901744,34.4,10,-0.29924176695812393,True,False,redundant
L. Quinones,1631311,1631311_GSW23_NOP24,0,G,G,GSW,2023-24,NOP,2024-25,GSW 2023-24 → NOP 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,130,60,0.017,0.008,0.002,0.005,-0.009,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.37,-0.157,-0.213,NO,GSW,0.21341251247017,0.07928176662809089,0.157,-0.200253161064526,0.26254119264324716,35.0,10,0.200253161064526,False,True,missed-need
T. Rozier,1626179,1626179_CHA23_MIA23,0,G,Guard,CHA,2023-24,MIA,2023-24,CHA 2023-24 → MIA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,567,450,0.077,0.06,0.004,0.005,-0.015,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.067,0.146,-0.214,NO,CHA,0.22244299419008295,0.12483834986871942,-0.146,0.08624229657726104,0.3328925547012464,34.0,10,-0.08624229657726104,True,False,redundant
M. Plumlee,203486,203486_LAC23_PHX24,0,F/C,F-C,LAC,2023-24,PHX,2024-25,LAC 2023-24 → PHX 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,174,194,0.024,0.027,0.014,0.033,0.003,0.022,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.096,0.316,-0.219,NO,LAC,0.8015935021563115,0.17372775849415534,-0.316,0.31254724230712483,0.8892934900695295,37.3,10,-0.31254724230712483,True,False,redundant
J. McDaniels,1629667,1629667_PHI22_TOR23,0,F/C,F-C,PHI,2022-23,TOR,2023-24,PHI 2022-23 → TOR 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,119,191,0.016,0.025,0.005,0.001,-0.006,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.363,-0.142,-0.221,NO,PHI,0.21341251247017,0.08240277305142663,0.142,-0.20623075571385133,0.28436288568394913,34.9,10,0.20623075571385133,False,True,missed-need
C. Osman,1626224,1626224_CLE22_SAS23,0,F/Wing,F,CLE,2022-23,SAS,2023-24,CLE 2022-23 → SAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,551,399,0.074,0.051,0.008,0.005,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.107,0.12,-0.228,NO,CLE,0.21341251247017,0.12673748076746005,-0.12,0.04263171363246304,0.3517365089366256,33.1,10,-0.04263171363246304,True,False,redundant
W. Barton,203115,203115_WAS22_TOR22,0,G,Guard,WAS,2022-23,TOR,2022-23,WAS 2022-23 → TOR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,300,74,0.039,0.01,0.002,0.003,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.084,0.329,-0.244,NO,WAS,0.21341251247017,0.09244212036608496,-0.329,0.17558511495788443,0.4534513745091172,37.4,10,-0.17558511495788443,False,False,irrelevant
G. Niang,1627777,1627777_PHI22_CLE23,0,F/Wing,F,PHI,2022-23,CLE,2023-24,PHI 2022-23 → CLE 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,531,643,0.072,0.089,0.015,0.007,-0.003,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.146,0.393,-0.247,NO,PHI,0.21341251247017,0.13308308257376472,-0.393,0.17794494555005827,0.8660448563317575,35.3,10,-0.17794494555005827,True,False,redundant
M. Bagley III,1628963,1628963_DET23_WAS23,0,F,Forward,DET,2023-24,WAS,2023-24,DET 2023-24 → WAS 2023-24,PnR ball-handler / hub,Driving creator,PNR,DRIVE,169,196,0.022,0.025,0.003,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.251,0.007,-0.258,NO,DET,-0.4428888015379144,0.005753953861719341,-0.007,-0.03701516941612594,0.4482316702937893,32.6,10,0.03701516941612594,False,True,missed-need
C. Jones,1641732,1641732_SAC23_WAS24,0,G,G,SAC,2023-24,WAS,2024-25,SAC 2023-24 → WAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,69,82,0.009,0.011,0.003,0.025,-0.008,0.014,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.101,0.359,-0.259,NO,SAC,0.21341251247017,0.07169676530558046,-0.359,0.36802554156938916,0.4872828852964154,33.0,10,-0.36802554156938916,False,False,irrelevant
K. Middleton,203114,203114_MIL24_WAS24,0,F,Forward,MIL,2024-25,WAS,2024-25,MIL 2024-25 → WAS 2024-25,PnR ball-handler / hub,Post hub,PNR,POST_UP,227,140,0.03,0.019,0.005,0.033,-0.007,0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.416,-0.156,-0.26,NO,MIL,0.15711423065316618,0.084922821227088,0.156,0.17429734549738113,0.334075116553317,30.0,10,-0.17429734549738113,False,True,missed-need
P. Mills,201988,201988_BKN22_ATL23,0,G,G,BKN,2022-23,ATL,2023-24,BKN 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,222,52,0.03,0.007,0.003,0.003,-0.008,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.17,0.433,-0.263,NO,BKN,0.21341251247017,0.08677133980181376,-0.433,0.47268895136601485,0.8326229863516103,35.7,10,-0.47268895136601485,False,False,irrelevant
D. Brooks,1628415,1628415_MEM22_HOU23,0,F/Wing,G-F,MEM,2022-23,HOU,2023-24,MEM 2022-23 → HOU 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1020,813,0.13,0.104,0.012,0.014,-0.025,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.286,-0.017,-0.269,NO,MEM,0.21341251247017,0.1801800660979006,0.017,0.10399631644748454,0.5325394241699537,36.8,10,-0.10399631644748454,True,True,additive
J. Goodwin,1630692,1630692_MEM23_LAL24,0,G,G,MEM,2023-24,LAL,2024-25,MEM 2023-24 → LAL 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,162,119,0.022,0.017,0.005,0.001,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.11,0.162,-0.272,NO,MEM,0.21341251247017,0.08500470010499396,-0.162,0.027510501827102737,0.3699460222208072,35.4,10,-0.027510501827102737,False,False,irrelevant
O. Brissett,1629052,1629052_IND22_BOS23,0,F/Wing,F-G,IND,2022-23,BOS,2023-24,IND 2022-23 → BOS 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,362,157,0.046,0.021,0.007,0.004,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.406,-0.131,-0.275,NO,IND,0.21341251247017,0.10580308082142176,0.131,-0.28776014212795026,0.45462706747752657,35.7,10,0.28776014212795026,True,True,additive
B. Brown,1628971,1628971_TOR24_NOP24,0,F,Forward,TOR,2024-25,NOP,2024-25,TOR 2024-25 → NOP 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,135,195,0.018,0.026,0.004,0.009,-0.008,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.424,0.702,-0.277,NO,TOR,-0.3487236042912264,-0.0012910939546003641,-0.702,-0.13153227512329424,0.21357388556162127,35.0,10,0.13153227512329424,False,False,irrelevant
Z. LaVine,203897,203897_CHI24_SAC24,0,G,Guard,CHI,2024-25,SAC,2024-25,CHI 2024-25 → SAC 2024-25,Pull-up scorer,Driving creator,PULL_UP,DRIVE,761,488,0.1,0.067,0.124,0.003,0.099,-0.013,Hidden structural hub,Peripheral / replaceable wiring,-0.418,-0.14,-0.278,NO,CHI,0.017247769116558603,0.31937229143113216,0.14,0.1904387405868856,0.6924977183551287,35.9,10,-0.1904387405868856,True,True,additive
S. Curry,203552,203552_DAL23_CHA23,0,G,Guard,DAL,2023-24,CHA,2023-24,DAL 2023-24 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,136,61,0.018,0.008,0.004,0.006,-0.007,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,0.75,-0.279,NO,DAL,0.21341251247017,0.07735584006086083,-0.75,0.7148046817309677,0.8371551902198948,32.2,10,-0.7148046817309677,False,False,irrelevant
B. Biyombo,202687,202687_PHX22_MEM23,0,C,C,PHX,2022-23,MEM,2023-24,PHX 2022-23 → MEM 2023-24,Post hub,Post hub,POST_UP,POST_UP,215,122,0.028,0.016,0.048,0.027,0.036,0.016,Standard role occupant,Peripheral / replaceable wiring,-0.546,-0.265,-0.281,NO,PHX,0.21341251247017,0.15173336152014372,0.265,-0.5529699366973152,0.733914172765528,32.2,10,0.5529699366973152,True,True,additive
J. Holiday,203200,203200_ATL22_DAL22,0,G,Guard,ATL,2022-23,DAL,2022-23,ATL 2022-23 → DAL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,119,80,0.015,0.011,0.004,0.004,-0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.348,-0.063,-0.285,NO,ATL,0.21341251247017,0.08036449710334537,0.063,0.05574430326979953,0.6869878829099323,30.3,10,-0.05574430326979953,False,True,missed-need
M. Thybulle,1629680,1629680_PHI22_POR22,0,F,Guard-Forward,PHI,2022-23,POR,2022-23,PHI 2022-23 → POR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,111,137,0.015,0.018,0.007,0.002,-0.004,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.632,-0.347,-0.286,NO,PHI,0.21341251247017,0.08606272964667128,0.347,-0.27398230720293815,0.33379724305844194,35.6,10,0.27398230720293815,False,True,missed-need
B. Bogdanović,203992,203992_ATL24_LAC24,0,G,Guard,ATL,2024-25,LAC,2024-25,ATL 2024-25 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,225,248,0.029,0.035,0.009,0.002,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.203,0.088,-0.29,NO,ATL,-0.007239520269618919,0.06812279480135769,-0.088,0.05964432936141406,0.4065913008184493,32.6,10,-0.05964432936141406,False,False,irrelevant
R. Barrett,1629628,1629628_NYK23_TOR23,0,F,Forward-Guard,NYK,2023-24,TOR,2023-24,NYK 2023-24 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,446,559,0.061,0.074,0.002,0.003,-0.013,-0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.113,0.196,-0.31,NO,NYK,0.4723964042827716,0.14338202804115685,-0.196,0.017848555987297964,0.34871445103305326,34.9,10,-0.017848555987297964,True,False,redundant
M. Fultz,1628365,1628365_ORL23_SAC24,0,G,G,ORL,2023-24,SAC,2024-25,ORL 2023-24 → SAC 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,336,68,0.045,0.009,0.004,0.001,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.122,0.188,-0.31,NO,ORL,0.3420262368443935,0.11685070880819326,-0.188,0.011824530538443978,0.22986932418126338,35.9,10,-0.011824530538443978,True,False,redundant
D. Banton,1630625,1630625_TOR22_BOS23,0,F/Wing,F,TOR,2022-23,BOS,2023-24,TOR 2022-23 → BOS 2023-24,Transition initiator,Driving creator,TRANSITION,DRIVE,129,50,0.017,0.007,0.001,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.316,0.005,-0.322,NO,TOR,0.21341251247017,0.07766712468566594,-0.005,0.0010855373124646166,0.21998146027846857,33.5,10,-0.0010855373124646166,False,True,missed-need
M. Muscala,203488,203488_OKC22_BOS22,0,F/C,Forward-Center,OKC,2022-23,BOS,2022-23,OKC 2022-23 → BOS 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,195,87,0.025,0.011,0.015,0.001,0.004,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.454,-0.132,-0.322,NO,OKC,0.21341251247017,0.10185406632621968,0.132,-0.37266430331675404,0.7196323955585306,36.9,10,0.37266430331675404,False,True,missed-need
D. Smith Jr.,1628372,1628372_CHA22_BKN23,0,G,G,CHA,2022-23,BKN,2023-24,CHA 2022-23 → BKN 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,507,345,0.065,0.046,0.004,0.002,-0.012,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.116,0.21,-0.326,NO,CHA,0.21341251247017,0.11490793285498323,-0.21,0.10308096527337816,0.6881946781523856,34.8,10,-0.10308096527337816,True,False,redundant
J. Butler III,202710,202710_MIA24_GSW24,0,F,Forward,MIA,2024-25,GSW,2024-25,MIA 2024-25 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,317,403,0.043,0.055,0.01,0.004,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.483,-0.156,-0.327,NO,MIA,0.1294840036851014,0.09730930535602567,0.156,0.09985428225529355,0.8192448611266464,32.2,10,-0.09985428225529355,False,True,missed-need
S. Dinwiddie,203915,203915_BKN23_LAL23,0,G,Guard,BKN,2023-24,LAL,2023-24,BKN 2023-24 → LAL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,514,143,0.068,0.018,0.002,0.001,-0.015,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.372,-0.04,-0.332,NO,BKN,0.49666026229852295,0.15443292276943765,0.04,0.33280915854646276,0.7689508638011168,35.5,10,-0.33280915854646276,True,True,additive
L. Shamet,1629013,1629013_WAS23_NYK24,0,G,G,WAS,2023-24,NYK,2024-25,WAS 2023-24 → NYK 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,297,224,0.037,0.031,0.05,0.003,0.037,-0.009,Standard role occupant,Peripheral / replaceable wiring,-0.28,0.068,-0.348,NO,WAS,0.21341251247017,0.15766801786115853,-0.068,0.015074722138646472,0.12220389781206023,37.6,9,-0.015074722138646472,True,False,redundant
X. Tillman,1630214,1630214_MEM23_BOS23,0,F,Forward,MEM,2023-24,BOS,2023-24,MEM 2023-24 → BOS 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,219,64,0.029,0.008,0.007,0.003,-0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.599,-0.248,-0.351,NO,MEM,-0.12816367053380426,0.05543460756816654,0.248,0.1939225532874453,0.6560075363283048,35.7,10,-0.1939225532874453,False,True,missed-need
L. Walker IV,1629022,1629022_BKN23_PHI24,0,F/Wing,G-F,BKN,2023-24,PHI,2024-25,BKN 2023-24 → PHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,494,191,0.065,0.026,0.002,0.006,-0.015,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.328,0.024,-0.353,NO,BKN,0.21341251247017,0.11338813960533661,-0.024,0.02819088912702921,0.39072464198439316,34.6,10,-0.02819088912702921,True,True,additive
T. Prince,1627752,1627752_MIN22_LAL23,0,F/Wing,F,MIN,2022-23,LAL,2023-24,MIN 2022-23 → LAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,427,619,0.055,0.079,0.008,0.005,-0.006,-0.014,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.098,0.464,-0.365,NO,MIN,0.21341251247017,0.11181557285254311,-0.464,0.34750938664648484,0.7484274091574372,35.5,10,-0.34750938664648484,True,False,redundant
D. Hunter,1629631,1629631_ATL24_CLE24,0,F,Forward-Guard,ATL,2024-25,CLE,2024-25,ATL 2024-25 → CLE 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,534,276,0.07,0.037,0.002,0.005,-0.015,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.171,0.2,-0.371,NO,ATL,0.0896348813957804,0.1009696653174624,-0.2,-0.33966484517137513,0.5314598683499002,31.4,10,0.33966484517137513,False,False,irrelevant
M. Morris Sr.,202694,202694_LAC22_PHI23,0,F/Wing,F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,668,208,0.089,0.028,0.004,0.002,-0.018,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.259,0.114,-0.373,NO,LAC,0.21341251247017,0.13439450865479075,-0.114,0.1383433411429404,0.30531458771775327,33.8,10,-0.1383433411429404,True,False,redundant
J. Landale,1629111,1629111_PHX22_HOU23,0,C,C,PHX,2022-23,HOU,2023-24,PHX 2022-23 → HOU 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,344,188,0.045,0.024,0.021,0.003,0.008,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.469,-0.071,-0.397,NO,PHX,0.21341251247017,0.12353926812613769,0.071,-0.07945186535045867,0.31388600607659584,32.5,10,0.07945186535045867,True,True,additive
S. Milton,1629003,1629003_BKN24_LAL24,0,F,Forward,BKN,2024-25,LAL,2024-25,BKN 2024-25 → LAL 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,162,95,0.023,0.013,0.001,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.489,-0.075,-0.414,NO,BKN,0.21341251247017,0.08270431232015818,0.075,0.05084547519945593,0.45437748968204983,34.9,10,-0.05084547519945593,False,True,missed-need
